dataset,sample,poisson_ratio,matrix_error,action_error,rayleigh_error,rigid_residual,affine_residual,symmetry_residual,psd_violation,modal_share_1,modal_share_2,modal_share_3,modal_share_4,modal_share_5
parameter hold-out,0,0.20,0.0002451705385644151,0.00031316415350371614,0.0009982285149181978,1.6083821237720095e-16,3.8308615680846653e-08,0.0,0.0,0.999862492999319,0.9997729846736848,0.00014959079349038685,0.0001301402297974033,8.434567529821235e-05
parameter hold-out,1,0.24,0.00015219853322980852,0.00018289939605789296,0.0006548215106846186,1.5760051072322575e-16,2.237230459879378e-08,0.0,0.0,0.9998568167275347,0.9997102699613788,0.00022567863634899137,0.00013690157241405066,7.002802662966753e-05
parameter hold-out,2,0.28,0.00015371582850239528,0.00017505661082908988,0.0006880859827983501,1.666881988870191e-16,2.0768146575764334e-08,0.0,0.0,0.9998492868953834,0.9995990782630072,0.0003492933963491696,0.00014547249013450295,5.6430587634511736e-05
parameter hold-out,3,0.32,0.00017778145918878342,0.0001973057422824801,0.0008519362514962615,1.680362720665189e-16,3.804787681553674e-08,0.0,0.0,0.9998391369933071,0.9993696881873333,0.0005894983539734436,0.00015676490134735596,4.392839071984777e-05
parameter hold-out,4,0.36,0.00016816071073907948,0.0001796910192660515,0.0009093777835175247,2.2549243668129708e-16,3.564629384734873e-08,0.0,0.0,0.9998250025684509,0.9987365017223394,0.0012311312915294,0.00017252809380195999,3.263733965479432e-05
parameter hold-out,5,0.40,0.0001031401537057154,0.00010812315470202209,0.0007035288791845806,2.537458920679424e-16,2.5249419949851188e-08,0.0,0.0,0.9998042034383008,0.9951229647463801,0.004846750401832186,0.00019714914175112105,2.2464530059222098e-05
parameter hold-out,6,0.44,3.355238651622807e-05,3.313694681938988e-05,0.00039070793879170725,1.5466223481296298e-16,2.9797071534948308e-08,0.0,0.0,0.9997713051995577,0.9064052490886213,0.09351193021465114,0.0002585917196269924,1.316200786504149e-05
parameter hold-out,7,0.46,1.612918193406988e-05,1.6148473666426325e-05,0.00035850035188472816,2.0665807128782834e-16,1.917942170787946e-08,0.0,0.0,0.9997460162066545,0.9936381529328419,0.005706491584162626,0.0008999397473236268,8.735723267842084e-06
parameter hold-out,8,0.48,5.408972515294526e-05,4.5325138131579956e-05,0.0014009513300031523,1.6873156933435537e-16,2.353183804717574e-08,0.0,0.0,0.9997088854689348,0.99838245199582,0.0015481221053993456,0.00035716052557812543,4.383049013766268e-06
parameter hold-out,9,0.49,1.8247393409888993e-05,1.7317309451631112e-05,0.0010120175489708224,7.511698461055322e-16,2.480902691914245e-08,0.0,0.0,0.9996797280469756,0.9990554072144598,0.000929188886523901,0.00033435504465068315,2.2075334622881234e-06
parameter hold-out,10,0.20,6.26822435840147e-05,7.480947304320681e-05,0.0002416878916021817,1.381316498301811e-16,3.147306078635131e-08,0.0,0.0,0.9896562022369831,0.9877685220558527,0.010382061492951174,0.007624278543346358,0.004572434770858675
parameter hold-out,11,0.24,0.00012640862933582624,0.00015454513667654396,0.000568900965942731,1.762791843348026e-16,2.6390269308772004e-08,0.0,0.0,0.9893669135548534,0.9855970565968145,0.011516608580140971,0.009710126575972169,0.00382182684069535
parameter hold-out,12,0.28,0.00014753533308299818,0.0001746917461945738,0.0007107164504075549,1.931796919366721e-16,3.277676506146249e-08,0.0,0.0,0.9889249307583309,0.9818472578354469,0.013191326214033263,0.012955146009434695,0.0031046424081854246
