id,source_id,source_level,level,mesh_size,elements,field_relative_l2,flux_relative_error,operator_seconds,assembly_seconds,linear_solve_seconds,normalized_elements
H01,BH01,h0.080,L1,0.08,591,0.0003965497441766693,0.0002976338779908492,0.13472909999836702,0.009493199999269564,0.0060061999975005165,0.13075221238938053
H01,BH01,h0.056,L2,0.056,1179,0.0002454920867370818,0.00016599796716081362,0.020886000002064975,0.018493799998395843,0.012552000000141561,0.2608407079646018
H01,BH01,h0.040,L3,0.04,2157,0.0001525821558966437,9.414181749465505e-05,0.043287700002110796,0.03414369999882183,0.02599970000301255,0.47721238938053095
H01,BH01,h0.028,L4,0.028,4520,9.22785741693782e-05,4.459143336444786e-05,0.08941129999948316,0.07357360000241897,0.0688363000008394,1.0
H02,BH02,h0.080,L1,0.08,647,0.0009041430677687326,0.0005789594113015693,0.010173399998166133,0.009924499998305691,0.006396100001438754,0.13524247491638797
H02,BH02,h0.056,L2,0.056,1185,0.0004789618398217812,0.00026112155443166465,0.027851099999679718,0.019171200001437683,0.012953099998412654,0.24770066889632106
H02,BH02,h0.040,L3,0.04,2378,0.00020628762425619428,0.00011970597976622519,0.047844000000623055,0.03852010000264272,0.033879299997352064,0.4970735785953177
H02,BH02,h0.028,L4,0.028,4784,0.00010185941666388531,4.535187579846945e-05,0.09236230000169598,0.07595620000211056,0.08395889999883366,1.0
H03,BH03,h0.080,L1,0.08,592,0.0003208368275176114,0.0003125322698153638,0.009524799999780953,0.00918180000007851,0.006274999999732245,0.12476290832455215
H03,BH03,h0.056,L2,0.056,1229,0.00013445740124034896,0.00016439446209206256,0.021926499997789506,0.01897639999879175,0.014267200000176672,0.2590094836670179
H03,BH03,h0.040,L3,0.04,2253,6.705998368468229e-05,7.319949822656462e-05,0.04632620000120369,0.036013199998706114,0.028144100000645267,0.47481559536354057
H03,BH03,h0.028,L4,0.028,4745,6.725781691274497e-05,3.781371228404082e-05,0.09311320000051637,0.07798319999710657,0.0945279000006849,1.0
H04,BH04,h0.080,L1,0.08,633,0.00025961193845567843,0.00031514214146890313,0.010445399999298388,0.009355500002129702,0.0061308000003919005,0.14642609299097847
H04,BH04,h0.056,L2,0.056,1266,0.00014125903319570503,0.00016665920121471288,0.022203000000445172,0.020019999999931315,0.01840710000033141,0.29285218598195695
H04,BH04,h0.040,L3,0.04,2278,7.081351020372627e-05,7.689476515980769e-05,0.04691370000000461,0.036066000000573695,0.0315069999996922,0.5269488780939162
H04,BH04,h0.028,L4,0.028,4323,2.4620912468866427e-05,4.3945484251287913e-05,0.08583379999981844,0.0705576000000292,0.07769270000062534,1.0
H05,BH05,h0.080,L1,0.08,555,0.0003056538981543815,0.0003213393450693384,0.008676500001456589,0.008866199998010416,0.005518000001757173,0.12319644839067703
H05,BH05,h0.056,L2,0.056,1131,0.0001925075733545306,0.00017874155694530002,0.022681999998894753,0.018159700000978773,0.012451899998268345,0.25105438401775804
H05,BH05,h0.040,L3,0.04,2258,0.00012173889696774241,8.966916114801442e-05,0.046571499999117805,0.03562919999967562,0.03133489999891026,0.5012208657047724
H05,BH05,h0.028,L4,0.028,4505,8.099467473179564e-05,4.235816706606737e-05,0.08891849999781698,0.0760800999996718,0.07806730000083917,1.0
H06,BH06,h0.080,L1,0.08,565,0.0004543744309442136,0.00041701101430015997,0.00920609999957378,0.008920200001739431,0.004868900003202725,0.12961688460656115
H06,BH06,h0.056,L2,0.056,1070,0.0003818073141277668,0.00029284333889377105,0.020167999999102904,0.017251400000532158,0.013096000002406072,0.24546914429915118
H06,BH06,h0.040,L3,0.04,2139,0.00010341733251223064,8.886916931202702e-05,0.04187889999957406,0.0334826999969664,0.03087289999893983,0.4907088781830695
H06,BH06,h0.028,L4,0.028,4359,0.00014569394094818869,8.01005910104035e-05,0.09931570000117063,0.06827100000009523,0.06627010000011069,1.0
H07,BH07,h0.080,L1,0.08,535,0.0002639506410089212,0.0002586372291493008,0.009487799998169066,0.008202200002415339,0.005318299998180009,0.11587611002815681
H07,BH07,h0.056,L2,0.056,1137,0.00015457181721618377,0.0001457419285625991,0.022002300000167452,0.01800569999977597,0.012256000001798384,0.24626380766731643
H07,BH07,h0.040,L3,0.04,2132,9.973164326813669e-05,7.479582115920014e-05,0.0434058000028017,0.03381910000098287,0.026020400000561494,0.46177171323370153
H07,BH07,h0.028,L4,0.028,4617,3.8972268887784196e-05,3.490734795397816e-05,0.09736699999848497,0.0727043999977468,0.07543319999967935,1.0
H08,BH08,h0.080,L1,0.08,569,0.0003914558985976151,0.00032776937443321533,0.008955099998274818,0.008627200000773882,0.0057018000006792136,0.12925942753293956
H08,BH08,h0.056,L2,0.056,1145,0.0002443520288103721,0.00018303885055229502,0.021077299999888055,0.018715999998676125,0.01332620000175666,0.26010904134484325
H08,BH08,h0.040,L3,0.04,2191,0.00014688821854668058,9.616419466531669e-05,0.04474380000101519,0.034408499999699416,0.029928399999334943,0.49772830531576556
H08,BH08,h0.028,L4,0.028,4402,6.453491228002639e-05,4.1905666440296015e-05,0.08604290000221226,0.07190049999917392,0.0703538000016124,1.0
H09,BH09,h0.080,L1,0.08,565,0.000748159473411466,0.0004440284492733009,0.009725299998535775,0.008638899998913985,0.005409199999121483,0.12544404973357015
H09,BH09,h0.056,L2,0.056,1094,0.0003514885706036295,0.00017042177038733896,0.020774399999936577,0.017507900000055088,0.014478900000540307,0.24289520426287745
H09,BH09,h0.040,L3,0.04,2229,0.00017039962101728372,9.01051757752871e-05,0.044062199998734286,0.03578460000062478,0.026791899999807356,0.49489342806394315
H09,BH09,h0.028,L4,0.028,4504,0.00010729086609681784,3.272230570706339e-05,0.09045530000003055,0.0727891999995336,0.07091479999871808,1.0
H10,BH10,h0.080,L1,0.08,569,0.0003137240860095858,0.0002667980491713238,0.008888399999705143,0.008793200002401136,0.005505999997694744,0.12189374464438732
H10,BH10,h0.056,L2,0.056,1206,0.00017832411677441297,0.00015158433569842738,0.024193200002628146,0.019404199996643,0.01294659999985015,0.2583547557840617
H10,BH10,h0.040,L3,0.04,2200,0.0001262522095327566,7.94302868227575e-05,0.04634740000255988,0.03455309999844758,0.028367700000671903,0.4712939160239931
H10,BH10,h0.028,L4,0.028,4668,6.626973319356532e-05,3.75950107981023e-05,0.08978379999825847,0.07403549999798997,0.07271830000172486,1.0
H11,BH11,h0.080,L1,0.08,371,0.00037309005173410357,0.001858400942241546,0.006435600000259001,0.006059399998775916,0.0033604000018385705,0.13077194219245683
H11,BH11,h0.056,L2,0.056,802,0.00020215154794412643,0.0008679738630210005,0.07786440000199946,0.013031900001806207,0.008621900000434835,0.28269298554811423
H11,BH11,h0.040,L3,0.04,1444,9.610732518048147e-05,0.00042749179022749835,0.030739099998754682,0.023010800003248733,0.01754129999972065,0.5089883679943602
H11,BH11,h0.028,L4,0.028,2837,4.768986504680459e-05,0.00018882085371294444,0.057473799999570474,0.04647509999995236,0.03652220000003581,1.0
H12,BH12,h0.080,L1,0.08,534,0.00027928938711068666,0.0006925075041299939,0.007767999999487074,0.008336800001416123,0.0059481999996933155,0.13276976628543014
H12,BH12,h0.056,L2,0.056,976,0.00016137125905416047,0.00034482751044072313,0.019296300000860356,0.015394199999718694,0.01249929999903543,0.24266534062655395
H12,BH12,h0.040,L3,0.04,2112,6.108066226361734e-05,0.00016459867462500873,0.044984299998759525,0.03286600000137696,0.034299300001293886,0.5251118846345102
H12,BH12,h0.028,L4,0.028,4022,2.746491956232498e-05,6.973150863365958e-05,0.08911850000004051,0.07392479999907664,0.06157100000200444,1.0
H13,BH13,h0.080,L1,0.08,467,0.0007819890643644882,0.0035006092054447246,0.006898899999214336,0.007446499999787193,0.004935199998726603,0.12186847599164927
H13,BH13,h0.056,L2,0.056,1006,0.0004250528581047055,0.0017659993450433234,0.022552599999471568,0.016170799997780705,0.010405799999716692,0.26252609603340293
H13,BH13,h0.040,L3,0.04,1812,0.000197602563930363,0.0009062969986065791,0.03637180000077933,0.027767899999162182,0.024878799998987233,0.47286012526096033
H13,BH13,h0.028,L4,0.028,3832,8.4254816756903e-05,0.0003809329407099532,0.07698520000121789,0.06084229999760282,0.061521299998275936,1.0
H14,BH14,h0.080,L1,0.08,502,0.0005823153174554661,0.001416109597686631,0.007568400000309339,0.008008600001630839,0.00505689999772585,0.12613065326633166
H14,BH14,h0.056,L2,0.056,1046,0.00030005962520448143,0.0006958581368078086,0.018815599996742094,0.016939500001171837,0.013320099998963997,0.2628140703517588
H14,BH14,h0.040,L3,0.04,2074,0.00016746763305917287,0.00036895352941239244,0.041812400002527284,0.03315110000039567,0.02631639999890467,0.521105527638191
H14,BH14,h0.028,L4,0.028,3980,5.8555235474825556e-05,0.0001482816671395688,0.07902580000154558,0.07058790000155568,0.06323279999924125,1.0
H15,BH15,h0.080,L1,0.08,400,0.000695953286325629,0.002357485773344947,0.00644540000212146,0.006311799999821233,0.004050499999721069,0.1303780964797914
H15,BH15,h0.056,L2,0.056,804,0.00027534371924724173,0.0011107616510080977,0.10212619999947492,0.01182649999827845,0.00815830000283313,0.2620599739243807
H15,BH15,h0.040,L3,0.04,1537,0.00016071943987573022,0.0005568643002769576,0.03211530000044149,0.02439289999892935,0.01763310000023921,0.5009778357235984
H15,BH15,h0.028,L4,0.028,3068,6.972752628263658e-05,0.0002480165151783221,0.05917080000290298,0.04922670000087237,0.04524590000073658,1.0
H16,BH16,h0.080,L1,0.08,356,0.000704263132156593,0.003054017570646858,0.005913799999689218,0.005654900000081398,0.003417300002183765,0.11633986928104575
H16,BH16,h0.056,L2,0.056,788,0.00047648320710082286,0.001530527466402971,0.08292739999887999,0.01310379999995348,0.00802560000010999,0.257516339869281
H16,BH16,h0.040,L3,0.04,1557,0.0002908729607338337,0.0007513491525112817,0.031837099999393104,0.02414850000059232,0.01809569999750238,0.5088235294117647
H16,BH16,h0.028,L4,0.028,3060,7.986178557226254e-05,0.00032854374123502495,0.06022250000023632,0.04921990000002552,0.03985890000330983,1.0
H17,BH17,h0.080,L1,0.08,395,0.0005942722263778611,0.0026029085649245773,0.005883999998332001,0.006147500000224682,0.003660499998659361,0.13376227565187945
H17,BH17,h0.056,L2,0.056,757,0.0002878072572804219,0.0012973986133412829,0.010456599997269223,0.011581599999772152,0.007353100001637358,0.25634947511005757
H17,BH17,h0.040,L3,0.04,1446,0.00013953853591012658,0.0006263022829035015,0.030344300001161173,0.022986800002399832,0.01694610000049579,0.4896715204876397
H17,BH17,h0.028,L4,0.028,2953,6.833820059758704e-05,0.0002761995109651551,0.05979410000145435,0.04785210000045481,0.04878800000005867,1.0
