id,operator_level,operator_elements,operator_dofs,reference_elements,field_relative_l2,flux_relative_error,maximum_error
BH01,h0.080,591,3159,37381,0.0003965497441766693,0.0002976338779908492,0.0003965497441766693
BH02,h0.080,647,3445,36227,0.0009041430677687326,0.0005789594113015693,0.0009041430677687326
BH03,h0.080,592,3167,37340,0.0003208368275176114,0.0003125322698153638,0.0003208368275176114
BH04,h0.080,633,3378,33761,0.00025961193845567843,0.00031514214146890313,0.00031514214146890313
BH05,h0.080,555,2976,36952,0.0003056538981543815,0.0003213393450693384,0.0003213393450693384
BH06,h0.080,565,3032,36594,0.0004543744309442136,0.00041701101430015997,0.0004543744309442136
BH07,h0.080,535,2873,35296,0.0002639506410089212,0.0002586372291493008,0.0002639506410089212
BH08,h0.080,569,3046,36572,0.0003914558985976151,0.00032776937443321533,0.0003914558985976151
BH09,h0.080,565,3020,34976,0.000748159473411466,0.0004440284492733009,0.000748159473411466
BH10,h0.080,569,3046,35874,0.0003137240860095858,0.0002667980491713238,0.0003137240860095858
BH11,h0.080,371,2086,22185,0.00037309005173410357,0.001858400942241546,0.001858400942241546
BH12,h0.080,534,2880,32922,0.00027928938711068666,0.0006925075041299939,0.0006925075041299939
BH13,h0.080,467,2548,29643,0.0007819890643644882,0.0035006092054447246,0.0035006092054447246
BH14,h0.080,502,2738,39955,0.0005823153174554661,0.001416109597686631,0.001416109597686631
BH15,h0.080,400,2240,24972,0.000695953286325629,0.002357485773344947,0.002357485773344947
BH16,h0.080,356,2008,22600,0.000704263132156593,0.003054017570646858,0.003054017570646858
BH17,h0.080,395,2206,22214,0.0005942722263778611,0.0026029085649245773,0.0026029085649245773
BH18,h0.080,420,2334,31867,0.0004894273103310072,0.0024490071509114916,0.0024490071509114916
BH19,h0.080,504,2760,53169,0.002244454367428417,0.0034506416103587214,0.0034506416103587214
BH20,h0.080,513,2790,60336,0.0016279228910020184,0.0031974236189948966,0.0031974236189948966
BH21,h0.080,574,3157,32038,0.001011184072443867,0.004352060276899812,0.004352060276899812
BH22,h0.080,561,3124,30791,0.0008977628847974095,0.004918436459723746,0.004918436459723746
BH23,h0.080,700,3898,31749,0.0014291540701691127,0.00797987967439956,0.00797987967439956
BH24,h0.080,822,4605,32426,0.0006433093688776196,0.0030728966099631645,0.0030728966099631645
BH25,h0.080,844,4722,63150,0.0015376765631708732,0.006813592814039768,0.006813592814039768
BE01,h0.080,590,3199,192774,0.003888153886316904,0.010081705166483011,0.010081705166483011
BE02,h0.080,723,3903,32724,0.003166976195791379,0.0072364387939193265,0.0072364387939193265
BE03,h0.080,613,3320,31028,0.001853587961361095,0.005722558255060713,0.005722558255060713
BE04,h0.080,595,3227,63107,0.0025100019215983896,0.00718987869520568,0.00718987869520568
BE05,h0.080,564,3081,61317,0.0015543941046741504,0.0034156646958087658,0.0034156646958087658
BE06,h0.080,644,3463,64368,0.004524586146857647,0.014118816619040922,0.014118816619040922
BE07,h0.080,621,3363,33949,0.002383016375704385,0.007902628810653288,0.007902628810653288
BE08,h0.080,616,3326,35902,0.0027009934577469203,0.008437317575944585,0.008437317575944585
BE09,h0.080,599,3217,231827,0.0016447938275700633,0.004987680735445072,0.004987680735445072
BE10,h0.080,578,3130,40303,0.002948454460957329,0.007773388161897655,0.007773388161897655
BE11,h0.080,579,3132,213281,0.0021115227447656222,0.007530232102225111,0.007530232102225111
BE12,h0.080,641,3466,36207,0.002526480980632117,0.005991934410292816,0.005991934410292816
BE13,h0.080,603,3312,27430,0.002459044424128406,0.008350420837259287,0.008350420837259287
BE14,h0.080,582,3162,62152,0.003285736259899918,0.011117521555110478,0.011117521555110478
BE15,h0.080,662,3646,37298,0.0025672025778695077,0.010153980711383827,0.010153980711383827
BE16,h0.080,526,2954,25276,0.0032078371612615183,0.023031103125074816,0.023031103125074816
BE17,h0.080,577,3233,23810,0.003402228228844325,0.024664564812507343,0.024664564812507343
BE18,h0.080,582,3264,22390,0.003385463950320389,0.026403932916470606,0.026403932916470606
BE19,h0.080,597,3333,20290,0.004009566208582067,0.02939415602987225,0.02939415602987225
BE20,h0.080,554,3130,19893,0.0029675999559885973,0.02808457427047867,0.02808457427047867
BE21,h0.080,565,3048,34541,0.0007780567530735401,0.0028645866000692483,0.0028645866000692483
BE22,h0.080,650,3584,31190,0.0014894062937829712,0.006656779122286807,0.006656779122286807
BE23,h0.080,632,3528,32534,0.0014305822756723453,0.005853083201477843,0.005853083201477843
BE24,h0.080,922,5078,32878,0.0005485118581318268,0.0027302041262176916,0.0027302041262176916
BE25,h0.080,927,5116,66549,0.0012066625531537206,0.004936508382603244,0.004936508382603244
